reading_status,title,author,platform,pairing,status,words,chapter,rating_note,
done,�berleben?-Sleepless,Gedankenspielerin,fanfiction.de,Thranduilxseine Frau,done,,1,i was honestly nimma genau worums geht ,
done,Wie Schnee und Eis,ellenmalfoy,fanfiction.de,ThranduilxOC,done,,22,,
done,Geschmolzenes Eis (Teil zwei zu Wie Schnee und Eis),ellenmalfoy,fanfiction.de,ThranduilxOC,done,,14,muss a guade story gewesen sein waun i sogoa in 2. Teil gelesen hab ,
done,Mein Schicksal,nataliatena,fanfiction.de,HaldirxOC,done,,13,,
done,Das beste Mittel gegen Albtr�ume,nataliatena,fanfiction.de,BardxOC,done,,1,woa cute,
done,Wiedersehen,Princess Loreley,fanfiction.de,,wip ,,11,??,
done,Eine Nacht in Lothlorien,Lhunlona,fanfiction.de,HaldirxOC,done,,1,,
done,�berleben?-Love,nataliatena,fanfiction.de,,done,,2,es geht um die T�chter von Thranduil,
done,�berleben?-Childhood,nataliatena,fanfiction.de,,done,,1,es geht um die T�chter von Thranduil wie sie nu Kinder san,
done,�berleben?,nataliatena,fanfiction.de,,done,,26,"wos w�re wenn Thranduils Frau nu lebt? und wos w�re wenn gandalf sie w�hrend seim ""besuch"" bei Saruman trifft?",
done,Die letzte Reise,Elrien,fanfiction.de,bin ma nimma sicha owa OC woa dabei,done,,52,,
done,Lauf der Zeit,Moonlight16,fanfiction.de,LegolasxOC,wip ,,44,leider ned fertig :(,
done,Mitten ins Herz,Niniel,fanfiction.de,HaldirxOC,done,,28,a elbin verkleidet sich als mann um in die garde von Lothlorien zu kommen (mulan style) owa es gibt a problem... und des Problem hasd Haldir :),
done,Die Sterne des Nordens,Alyanna,fanfiction.de,LegolasxOC ,done,,31,,
done,Ice and Rubys,Anuhya,fanfiction.de,ThranduilxOC,wip ,,49,de story woa soooooooo guad owa sie is mittlerweile auf abgebrochen (seit 2018 kane updates mehr),
done,My new life,starry-night,fanfiction.de,LeexOC (Schauspieler von ThranduilxOC),wip ,,13,guade story owa a mittlerweile auf abgebrochen wei seit 2017 ka neichs kap mehr,
done,Elen feana or govas nis,bluemelody,fanfiction.de,LegolasxOC,done,,137,des woa de erste ff de i von HdR auf ff.de gelesen hab :),
done,Das Geheimnis von Legolas,Eisfee,fanfiction.de,LegolasxOC ,done,,1,cuter oneshot mit Legolas,
done,Silberblumen,Moonlight16,fanfiction.de,was nimma hihi,done,,1,,
done,Saelithil - Eine schicksalhafte Begegnung,the black sheep,fanfiction.de,LegolasxOC,done,,42,nach dem Ringkrieg owa details san ma entfallen,
done,Der Gesang der Nachtigall,Lywhn,fanfiction.de,LegolasxOC ,done,,53,"mega cute story, guads storytelling, would recommend",
done,"Wenn Ihr mich wollt, dann kommt und verlangt nach mir!",Honey1005,fanfiction.de,LegolasxOC ,done,,1,oneshot mit legolas,
done,Varais,Lythanda,fanfiction.de,HaldirxOC,done,,10,hehe was w�re wenn haldir nicht in helms klamm gestorben w�re?,
done,Und am Himmel tanzen die Sterne,Wildeye,fanfiction.de,?,done,,27,kan plan mehr,
