reading_status,title,author,platform,pairing,status,words,chapters,recommended,link
on list,Just another time travel fanfiction,nataliatena,FF.de,Snarry ,Completed,"28,966",23,,https://www.fanfiktion.de/s/d/5dae028b000573a211f43ff0/Just-another-time-travel-fanfiction
on list,"Truth, Past, Present",nataliatena,FF.de,"RL/SS, DM/?",Completed,"127,835",59,,https://www.fanfiktion.de/s/d/5d751eee000573a23ad6cb9c/Truth-Past-Present
on list,When Hermione Fights,queenie,FF.de,HGxSB/DM/LM/SS,Completed,"4,119,230",667,,https://www.fanfiktion.de/s/d/4d1c99d900014060067007d0/When-Hermione-Fights
on list,Die Chemikerin,Black One,FF.de,SS/OC,Completed,"242,741",121,,https://www.fanfiktion.de/s/d/5bd1cc0b0005149532c08203/Die-Chemikerin
on list,"Make Witchcraft Great Again!!! (T,P,P Teil 2)",nataliatena,FF.de,"SS/RL, OC/DM ",Completed,"49,109",24,,https://www.fanfiktion.de/s/d/5e84780d000573a2271481da/Make-Witchcraft-Great-Again
on list,Die wahren Opfer des Krieges,Mondeule22,FF.de,Dramione,Completed,"97,935",41,,https://www.fanfiktion.de/s/d/6125e7b6000be50d12d32e5e/Die-wahren-Opfer-des-Krieges
on list,Die wahren Opfer der Reinbl�tigkeit,Mondeule22,FF.de,Dramione,Completed,"127,256",48,,https://www.fanfiktion.de/s/d/615d056f000be50d3af5547e/Die-wahren-Opfer-der-Reinbluetigkeit
on list,Die wahren Opfer der Vergangenheit,Mondeule22,FF.de,Dramione,Completed,"373,409",110,,https://www.fanfiktion.de/s/d/619cad64000be50d12d32e5e/Die-wahren-Opfer-der-Vergangenheit
on list,Kollisionskurs,Mary194,FF.de,AD/GG,Completed,"231,851",76,,https://www.fanfiktion.de/s/d/5c044d150000ebc436de1362/Kollisionskurs
on list,What if�,Jenny Nocturna Black,FF.de,Dramione,Completed,"96,317",40,,https://www.fanfiktion.de/s/d/61993234000cf3a52712cb2d/What-if
on list,(Un)erf�llte Liebe,MilasMagie,FF.de,Dramione/Fremione,Completed,"11,682",6,,https://www.fanfiktion.de/s/d/62000b75000a75a8268f3cb8/Dramione-Fremione-Un-erfuellte-Liebe
on list,Alice�nicht ganz im Wunderland,bluemelody,FF.de,OC/DM,ruhend,"253,840",251,,https://www.fanfiktion.de/s/d/52f6229a000218783a23c06c/Alice-nicht-ganz-im-Wunderland-Draco-OC
on list,Some kind of peace,Jenny Nocturna Black,FF.de,Dramione ,Completed,"112,459",45,,https://www.fanfiktion.de/s/d/6256b977000cf3a52712cb2d/Some-kind-of-Peace
on list,We stay until the clouds turn purple again,MaryLou15,FF.de,Dramione,Completed,"37,395",15,,https://www.fanfiktion.de/s/d/5e8b4a83000ac1e1db7bdca/We-stay-until-the-clouds-turn-purple-again
on list,Ocean Eyes,MilasMagie,FF.de,Dramione,Completed,"10,288",3,,https://www.fanfiktion.de/s/d/63029754000a75a817334cf9/Dramione-Ocean-Eyes
on list,Lass dein Gl�ck nicht ziehen,MilasMagie,FF.de,Dramione,Completed,"242,134",81,,https://www.fanfiktion.de/s/d/5d44afdc000a75a82e874c2f/Dramione-Lass-dein-Glueck-nicht-ziehen
on list,Das Buch der B�cher ,Telda,FF.de,Dramione,Completed,"31,898",24,,https://www.fanfiktion.de/s/d/600457460004e223ff9892d/Das-Buch-der-Buecher
on list,Initially yours,writing Kensi,FF.de,Dramione,Completed,"113,643",47,,https://www.fanfiktion.de/s/d/5cdefd4600037baa3a0b8bd4/Initially-yours
on list,Eulenpost,queenie,FF.de ,,ruhend,"3,287",4,,https://www.fanfiktion.de/s/d/63307a7600014060268be7b3/Eulenpost
on list,Der Apfle f�llt manchmal weit vom Stamm,BlackPantherGirl,FF.de,OC,Completed,"345,154",208,,https://www.fanfiktion.de/s/d/58b03b5d00060bd028448a7b/Der-Apfel-faellt-manchmal-weit-vom-Stamm
on list,Friendship and other Disasters,Jenny Nocturna Black,FF.de,Dramione,Completed,"112,625",49,,https://www.fanfiktion.de/s/d/62f73f99000cf3a52712cb2d/Friendship-and-other-Disasters
on list,Love is a devil,nataliatena,FF.de,OC/SS,Completed,"849,397",218,,https://www.fanfiktion.de/s/d/5e8a0781000573a211c71fde/Love-is-a-devil
on list,Erwartungen,LunaLovedog,FF.de,Drarry,Completed,"126,584",28,,https://www.fanfiktion.de/s/d/63b89866000ad6871705e2a4/Erwartungen
on list,Those Eyes,Jenny Nocturna Black,FF.de,Dramione,Completed,"24,870",12,,https://www.fanfiktion.de/s/d/64b52d27000cf3a52712cb2d/Those-Eyes
on list,Just the three of us ,Jenny Nocturna Black,FF.de,DM/HG/TN,Completed,"82,474",26,,https://www.fanfiktion.de/s/d/64ea7311000cf3a52845ce50/Just-the-three-of-us
